Name,Years Played ,MVP,Championships,Finals MVP,All Star Games,All Star MVP,DPOY,ROY ,Scoring Champion 
Lebron James,17,4,3,3,15,3,0,1,1
Michael Jordan ,15,5,6,6,14,3,1,1,10
